	material	depth	vc	rake_angle	clearance_angle	expected_cut_force	A	B	C	n	m	d1	d2	d3	d4	d5	densidade	young_modulus	poisson_coef
123	AISI_1045	0.5	3500	8	5	5413.17119140625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
124	AISI_1045	0.5	3500	11	5	5221.243359375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
125	AISI_1045	0.5	3500	14	5	5393.805078125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
126	AISI_1045	0.5	4000	-10	5	5977.834765625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
127	AISI_1045	0.5	4000	-7	5	5841.5138671875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
128	AISI_1045	0.5	4000	-4	5	5584.92578125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
129	AISI_1045	0.5	4000	-1	5	4412.726806640627	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
130	AISI_1045	0.5	4000	2	5	3924.161474609378	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
131	AISI_1045	0.5	4000	5	5	4314.752880859376	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
132	AISI_1045	0.5	4000	8	5	5525.7490234375	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
133	AISI_1045	0.5	4000	11	5	5341.56337890625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
134	AISI_1045	0.5	4000	14	5	4793.39580078125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
135	AISI_1045	0.5	4500	-10	5	4433.98466796875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
136	AISI_1045	0.5	4500	-7	5	5465.26669921875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
137	AISI_1045	0.5	4500	-4	5	4851.14501953125	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
138	AISI_1045	0.5	4500	-1	5	4862.572705078126	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
139	AISI_1045	0.5	4500	2	5	3924.6301269531264	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
140	AISI_1045	0.5	4500	5	5	4368.027978515626	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
141	AISI_1045	0.5	4500	8	5	5465.36884765625	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
142	AISI_1045	0.5	4500	11	5	5376.22060546875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
143	AISI_1045	0.5	4500	14	5	5182.46357421875	553.0	600.0	0.0134	0.234	1.0	0.06	3.31	-1.96	0.0018	0.58	2.7e-09	210000.0	0.269
144	STEEL_304	0.5	3000	-10	5	2161.501806640626	310.0	1000.0	0.07	0.65	1.0	0.53	0.5	-6.8	-0.014	0.0	2.7e-09	209000.0	0.28
145	STEEL_304	0.5	3000	-7	5	2056.8278076171882	310.0	1000.0	0.07	0.65	1.0	0.53	0.5	-6.8	-0.014	0.0	2.7e-09	209000.0	0.28
146	STEEL_304	0.5	3000	-4	5	2068.767504882816	310.0	1000.0	0.07	0.65	1.0	0.53	0.5	-6.8	-0.014	0.0	2.7e-09	209000.0	0.28
147	STEEL_304	0.5	3000	-1	5	1998.6189697265659	310.0	1000.0	0.07	0.65	1.0	0.53	0.5	-6.8	-0.014	0.0	2.7e-09	209000.0	0.28
148	STEEL_304	0.5	3000	2	5	2215.346582031252	310.0	1000.0	0.07	0.65	1.0	0.53	0.5	-6.8	-0.014	0.0	2.7e-09	209000.0	0.28
149	STEEL_304	0.5	3000	5	5	2282.033007812502	310.0	1000.0	0.07	0.65	1.0	0.53	0.5	-6.8	-0.014	0.0	2.7e-09	209000.0	0.28
150	STEEL_304	0.5	3000	8	5	2072.055859375004	310.0	1000.0	0.07	0.65	1.0	0.53	0.5	-6.8	-0.014	0.0	2.7e-09	209000.0	0.28
151	STEEL_304	0.5	3000	11	5	2273.3973388671902	310.0	1000.0	0.07	0.65	1.0	0.53	0.5	-6.8	-0.014	0.0	2.7e-09	209000.0	0.28
152	STEEL_304	0.5	3000	14	5	2097.782446289064	310.0	1000.0	0.07	0.65	1.0	0.53	0.5	-6.8	-0.014	0.0	2.7e-09	209000.0	0.28
153	STEEL_304	0.5	3500	-10	5	2000.9076171875017	310.0	1000.0	0.07	0.65	1.0	0.53	0.5	-6.8	-0.014	0.0	2.7e-09	209000.0	0.28
154	STEEL_304	0.5	3500	-7	5	1957.8270263671882	310.0	1000.0	0.07	0.65	1.0	0.53	0.5	-6.8	-0.014	0.0	2.7e-09	209000.0	0.28
155	STEEL_304	0.5	3500	-4	5	1993.1726318359401	310.0	1000.0	0.07	0.65	1.0	0.53	0.5	-6.8	-0.014	0.0	2.7e-09	209000.0	0.28
