	material	depth	vc	rake_angle	clearance_angle	expected_cut_force	A	B	C	n	m	d1	d2	d3	d4	d5	densidade	young_modulus	poisson_coef
196	AISI_4140	0.25	3500	14	5	1240.126782226564	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
197	AISI_4140	0.25	4000	-10	5	1162.088134765624	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
198	AISI_4140	0.25	4000	-7	5	1100.9722167968762	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
199	AISI_4140	0.25	4000	-4	5	1124.33591308594	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
200	AISI_4140	0.25	4000	-1	5	1381.502587890626	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
201	AISI_4140	0.25	4000	2	5	1241.7278808593783	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
202	AISI_4140	0.25	4000	5	5	1209.47985839844	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
203	AISI_4140	0.25	4000	8	5	1272.346777343752	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
204	AISI_4140	0.25	4000	11	5	1244.111694335938	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
205	AISI_4140	0.25	4000	14	5	1247.9955078125	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
206	AISI_4140	0.25	4500	-10	5	1088.274316406252	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
207	AISI_4140	0.25	4500	-7	5	1109.5500732421901	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
208	AISI_4140	0.25	4500	-4	5	1077.94248046875	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
209	AISI_4140	0.25	4500	-1	5	1266.488330078128	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
210	AISI_4140	0.25	4500	2	5	961.2384765625	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
211	AISI_4140	0.25	4500	5	5	1267.358178710938	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
212	AISI_4140	0.25	4500	8	5	1198.759912109376	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
213	AISI_4140	0.25	4500	11	5	1233.85244140625	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
214	AISI_4140	0.25	4500	14	5	1269.048022460938	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
215	AISI_4340	0.25	1000	-10	5	562.5923339843754	792.0	510.0	0.014	1.03	0.26	0.05	3.44	-2.12	0.002	0.61	2.7e-09	209000.0	0.28
216	AISI_4340	0.25	1000	-7	5	611.1050537109376	792.0	510.0	0.014	1.03	0.26	0.05	3.44	-2.12	0.002	0.61	2.7e-09	209000.0	0.28
217	AISI_4340	0.25	1000	-4	5	584.8319091796877	792.0	510.0	0.014	1.03	0.26	0.05	3.44	-2.12	0.002	0.61	2.7e-09	209000.0	0.28
218	AISI_4340	0.25	1000	-1	5	429.2525207519532	792.0	510.0	0.014	1.03	0.26	0.05	3.44	-2.12	0.002	0.61	2.7e-09	209000.0	0.28
219	AISI_4340	0.25	1000	2	5	610.2454833984377	792.0	510.0	0.014	1.03	0.26	0.05	3.44	-2.12	0.002	0.61	2.7e-09	209000.0	0.28
220	AISI_4340	0.25	1000	5	5	608.6292236328128	792.0	510.0	0.014	1.03	0.26	0.05	3.44	-2.12	0.002	0.61	2.7e-09	209000.0	0.28
221	AISI_4340	0.25	1000	8	5	632.6455078125	792.0	510.0	0.014	1.03	0.26	0.05	3.44	-2.12	0.002	0.61	2.7e-09	209000.0	0.28
222	AISI_4340	0.25	1000	11	5	806.4144287109375	792.0	510.0	0.014	1.03	0.26	0.05	3.44	-2.12	0.002	0.61	2.7e-09	209000.0	0.28
223	AISI_4340	0.25	1000	14	5	745.5726196289063	792.0	510.0	0.014	1.03	0.26	0.05	3.44	-2.12	0.002	0.61	2.7e-09	209000.0	0.28
224	AISI_4340	0.25	1500	-10	5	643.2012817382815	792.0	510.0	0.014	1.03	0.26	0.05	3.44	-2.12	0.002	0.61	2.7e-09	209000.0	0.28
225	AISI_4340	0.25	1500	-7	5	567.2376586914063	792.0	510.0	0.014	1.03	0.26	0.05	3.44	-2.12	0.002	0.61	2.7e-09	209000.0	0.28
226	AISI_4340	0.25	1500	-4	5	586.5097412109375	792.0	510.0	0.014	1.03	0.26	0.05	3.44	-2.12	0.002	0.61	2.7e-09	209000.0	0.28
227	AISI_4340	0.25	1500	-1	5	379.6912109375002	792.0	510.0	0.014	1.03	0.26	0.05	3.44	-2.12	0.002	0.61	2.7e-09	209000.0	0.28
228	AISI_4340	0.25	1500	2	5	456.7965148925782	792.0	510.0	0.014	1.03	0.26	0.05	3.44	-2.12	0.002	0.61	2.7e-09	209000.0	0.28
